,total,negative,neutral,positive,Energy efficiency,Convenience,Cleaning,Time to boil,Time to cool
Electric Kettles,,,,,270,465,2277,7185,3384
total,62754,16702,11472,34580,"{'negative': 24, 'neutral': 41, 'positive': 205, 'total': 270}","{'negative': 47, 'neutral': 80, 'positive': 338, 'total': 465}","{'negative': 507, 'neutral': 343, 'positive': 1427, 'total': 2277}","{'negative': 3149, 'neutral': 1871, 'positive': 2165, 'total': 7185}","{'negative': 1222, 'neutral': 804, 'positive': 1358, 'total': 3384}"
B012WF88QS,2333,665,426,1242,"{'negative': 1, 'neutral': 0, 'positive': 8, 'total': 9}","{'negative': 2, 'neutral': 3, 'positive': 3, 'total': 8}","{'negative': 12, 'neutral': 7, 'positive': 27, 'total': 46}","{'negative': 103, 'neutral': 66, 'positive': 71, 'total': 240}","{'negative': 45, 'neutral': 28, 'positive': 48, 'total': 121}"
B07TYGG2S3,330,90,61,179,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 1, 'positive': 0, 'total': 1}","{'negative': 5, 'neutral': 1, 'positive': 10, 'total': 16}","{'negative': 24, 'neutral': 11, 'positive': 24, 'total': 59}","{'negative': 7, 'neutral': 7, 'positive': 14, 'total': 28}"
B07MV2K5FY,3662,724,612,2326,"{'negative': 1, 'neutral': 1, 'positive': 11, 'total': 13}","{'negative': 3, 'neutral': 9, 'positive': 56, 'total': 68}","{'negative': 29, 'neutral': 39, 'positive': 224, 'total': 292}","{'negative': 185, 'neutral': 135, 'positive': 195, 'total': 515}","{'negative': 54, 'neutral': 63, 'positive': 133, 'total': 250}"
B07VXVFKWV,585,133,115,337,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 3, 'total': 3}","{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 22, 'neutral': 12, 'positive': 16, 'total': 50}","{'negative': 22, 'neutral': 12, 'positive': 22, 'total': 56}"
B07VKT561K,283,65,44,174,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 6, 'total': 6}","{'negative': 1, 'neutral': 1, 'positive': 19, 'total': 21}","{'negative': 14, 'neutral': 7, 'positive': 11, 'total': 32}","{'negative': 8, 'neutral': 0, 'positive': 5, 'total': 13}"
B07H9QPWGY,729,198,171,360,"{'negative': 0, 'neutral': 0, 'positive': 2, 'total': 2}","{'negative': 3, 'neutral': 2, 'positive': 7, 'total': 12}","{'negative': 13, 'neutral': 4, 'positive': 13, 'total': 30}","{'negative': 53, 'neutral': 30, 'positive': 33, 'total': 116}","{'negative': 14, 'neutral': 16, 'positive': 21, 'total': 51}"
B07FKN76ZS,6421,1405,1148,3868,"{'negative': 6, 'neutral': 8, 'positive': 33, 'total': 47}","{'negative': 3, 'neutral': 11, 'positive': 26, 'total': 40}","{'negative': 87, 'neutral': 63, 'positive': 303, 'total': 453}","{'negative': 334, 'neutral': 262, 'positive': 290, 'total': 886}","{'negative': 99, 'neutral': 94, 'positive': 161, 'total': 354}"
B07S7CB7G2,1661,315,286,1060,"{'negative': 0, 'neutral': 1, 'positive': 6, 'total': 7}","{'negative': 1, 'neutral': 2, 'positive': 8, 'total': 11}","{'negative': 13, 'neutral': 10, 'positive': 94, 'total': 117}","{'negative': 96, 'neutral': 77, 'positive': 80, 'total': 253}","{'negative': 22, 'neutral': 24, 'positive': 40, 'total': 86}"
B00ZPN3O2I,4331,1175,780,2376,"{'negative': 1, 'neutral': 4, 'positive': 15, 'total': 20}","{'negative': 1, 'neutral': 2, 'positive': 31, 'total': 34}","{'negative': 31, 'neutral': 18, 'positive': 51, 'total': 100}","{'negative': 269, 'neutral': 125, 'positive': 128, 'total': 522}","{'negative': 83, 'neutral': 40, 'positive': 62, 'total': 185}"
B07D3QFD6B,1246,247,232,767,"{'negative': 1, 'neutral': 1, 'positive': 4, 'total': 6}","{'negative': 0, 'neutral': 1, 'positive': 5, 'total': 6}","{'negative': 7, 'neutral': 15, 'positive': 34, 'total': 56}","{'negative': 70, 'neutral': 53, 'positive': 45, 'total': 168}","{'negative': 18, 'neutral': 10, 'positive': 46, 'total': 74}"
B00CT9XO4E,586,133,116,337,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 3, 'total': 3}","{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 22, 'neutral': 12, 'positive': 16, 'total': 50}","{'negative': 22, 'neutral': 12, 'positive': 22, 'total': 56}"
B07TZ5YHJN,3312,684,560,2068,"{'negative': 4, 'neutral': 8, 'positive': 19, 'total': 31}","{'negative': 3, 'neutral': 7, 'positive': 25, 'total': 35}","{'negative': 46, 'neutral': 27, 'positive': 114, 'total': 187}","{'negative': 156, 'neutral': 118, 'positive': 154, 'total': 428}","{'negative': 44, 'neutral': 47, 'positive': 110, 'total': 201}"
B072DWYBL7,8818,1925,1635,5258,"{'negative': 4, 'neutral': 9, 'positive': 46, 'total': 59}","{'negative': 3, 'neutral': 10, 'positive': 54, 'total': 67}","{'negative': 95, 'neutral': 59, 'positive': 189, 'total': 343}","{'negative': 423, 'neutral': 279, 'positive': 299, 'total': 1001}","{'negative': 133, 'neutral': 104, 'positive': 135, 'total': 372}"
B003KYSLNQ,16851,6016,3148,7687,"{'negative': 6, 'neutral': 4, 'positive': 29, 'total': 39}","{'negative': 15, 'neutral': 20, 'positive': 66, 'total': 101}","{'negative': 94, 'neutral': 45, 'positive': 122, 'total': 261}","{'negative': 827, 'neutral': 339, 'positive': 387, 'total': 1553}","{'negative': 440, 'neutral': 201, 'positive': 257, 'total': 898}"
B07YFTDQYB,1262,213,230,819,"{'negative': 0, 'neutral': 2, 'positive': 6, 'total': 8}","{'negative': 4, 'neutral': 4, 'positive': 13, 'total': 21}","{'negative': 11, 'neutral': 13, 'positive': 46, 'total': 70}","{'negative': 67, 'neutral': 45, 'positive': 57, 'total': 169}","{'negative': 10, 'neutral': 11, 'positive': 34, 'total': 55}"
B074T6KZRK,2073,572,409,1092,"{'negative': 0, 'neutral': 1, 'positive': 11, 'total': 12}","{'negative': 2, 'neutral': 0, 'positive': 5, 'total': 7}","{'negative': 25, 'neutral': 16, 'positive': 46, 'total': 87}","{'negative': 134, 'neutral': 82, 'positive': 102, 'total': 318}","{'negative': 28, 'neutral': 31, 'positive': 57, 'total': 116}"
B00N2278VC,585,133,115,337,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 3, 'total': 3}","{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 22, 'neutral': 12, 'positive': 16, 'total': 50}","{'negative': 22, 'neutral': 12, 'positive': 22, 'total': 56}"
B07PM3C68L,800,129,149,522,"{'negative': 0, 'neutral': 0, 'positive': 2, 'total': 2}","{'negative': 1, 'neutral': 2, 'positive': 8, 'total': 11}","{'negative': 4, 'neutral': 5, 'positive': 48, 'total': 57}","{'negative': 39, 'neutral': 43, 'positive': 44, 'total': 126}","{'negative': 11, 'neutral': 15, 'positive': 25, 'total': 51}"
B07HRQ6WPX,5807,1653,1045,3109,"{'negative': 0, 'neutral': 2, 'positive': 8, 'total': 10}","{'negative': 3, 'neutral': 6, 'positive': 13, 'total': 22}","{'negative': 23, 'neutral': 15, 'positive': 64, 'total': 102}","{'negative': 236, 'neutral': 129, 'positive': 158, 'total': 523}","{'negative': 124, 'neutral': 65, 'positive': 113, 'total': 302}"
B074XR43G4,1079,227,190,662,"{'negative': 0, 'neutral': 0, 'positive': 5, 'total': 5}","{'negative': 3, 'neutral': 0, 'positive': 3, 'total': 6}","{'negative': 11, 'neutral': 5, 'positive': 20, 'total': 36}","{'negative': 53, 'neutral': 34, 'positive': 39, 'total': 126}","{'negative': 16, 'neutral': 12, 'positive': 31, 'total': 59}"
