,total,negative,neutral,positive,Sensor types,Owner satisfaction,LCD quality,Video quality,Image quality,Image stabilization,Flash photos,Ease of use,Reliability,Viewfinder
SLR cameras,,,,,28,5,804,1024,854,117,456,1720,787,1534
total,17062,3915,2658,10489,"{'negative': 8, 'neutral': 4, 'positive': 16, 'total': 28}","{'negative': 1, 'neutral': 0, 'positive': 4, 'total': 5}","{'negative': 175, 'neutral': 88, 'positive': 541, 'total': 804}","{'negative': 263, 'neutral': 127, 'positive': 634, 'total': 1024}","{'negative': 180, 'neutral': 94, 'positive': 580, 'total': 854}","{'negative': 28, 'neutral': 15, 'positive': 74, 'total': 117}","{'negative': 205, 'neutral': 90, 'positive': 161, 'total': 456}","{'negative': 536, 'neutral': 365, 'positive': 819, 'total': 1720}","{'negative': 165, 'neutral': 86, 'positive': 536, 'total': 787}","{'negative': 652, 'neutral': 316, 'positive': 566, 'total': 1534}"
B07NRRNNSV,65,21,11,33,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 2, 'total': 2}","{'negative': 0, 'neutral': 0, 'positive': 2, 'total': 2}","{'negative': 0, 'neutral': 0, 'positive': 2, 'total': 2}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 1, 'neutral': 0, 'positive': 2, 'total': 3}","{'negative': 0, 'neutral': 0, 'positive': 2, 'total': 2}","{'negative': 2, 'neutral': 2, 'positive': 1, 'total': 5}"
B01N43UVL4,99,12,13,74,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 7, 'total': 7}","{'negative': 0, 'neutral': 0, 'positive': 7, 'total': 7}","{'negative': 0, 'neutral': 0, 'positive': 7, 'total': 7}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 1, 'neutral': 0, 'positive': 0, 'total': 1}","{'negative': 1, 'neutral': 2, 'positive': 6, 'total': 9}","{'negative': 0, 'neutral': 0, 'positive': 7, 'total': 7}","{'negative': 0, 'neutral': 2, 'positive': 2, 'total': 4}"
B01HH8H2WQ,292,48,43,201,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 3, 'neutral': 1, 'positive': 11, 'total': 15}","{'negative': 3, 'neutral': 1, 'positive': 12, 'total': 16}","{'negative': 3, 'neutral': 1, 'positive': 11, 'total': 15}","{'negative': 1, 'neutral': 0, 'positive': 0, 'total': 1}","{'negative': 0, 'neutral': 0, 'positive': 2, 'total': 2}","{'negative': 8, 'neutral': 7, 'positive': 16, 'total': 31}","{'negative': 3, 'neutral': 1, 'positive': 11, 'total': 15}","{'negative': 11, 'neutral': 9, 'positive': 15, 'total': 35}"
B071RH4Y9W,325,63,64,198,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 5, 'neutral': 3, 'positive': 11, 'total': 19}","{'negative': 6, 'neutral': 4, 'positive': 14, 'total': 24}","{'negative': 5, 'neutral': 3, 'positive': 11, 'total': 19}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 3, 'neutral': 2, 'positive': 3, 'total': 8}","{'negative': 6, 'neutral': 7, 'positive': 15, 'total': 28}","{'negative': 5, 'neutral': 3, 'positive': 11, 'total': 19}","{'negative': 16, 'neutral': 8, 'positive': 10, 'total': 34}"
B06XNTPN8C,1085,226,183,676,"{'negative': 1, 'neutral': 0, 'positive': 3, 'total': 4}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 7, 'neutral': 6, 'positive': 45, 'total': 58}","{'negative': 12, 'neutral': 10, 'positive': 48, 'total': 70}","{'negative': 7, 'neutral': 6, 'positive': 46, 'total': 59}","{'negative': 1, 'neutral': 1, 'positive': 3, 'total': 5}","{'negative': 11, 'neutral': 5, 'positive': 17, 'total': 33}","{'negative': 33, 'neutral': 24, 'positive': 45, 'total': 102}","{'negative': 6, 'neutral': 6, 'positive': 45, 'total': 57}","{'negative': 23, 'neutral': 17, 'positive': 26, 'total': 66}"
B0007QKN22,568,187,95,286,"{'negative': 1, 'neutral': 1, 'positive': 0, 'total': 2}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 5, 'neutral': 3, 'positive': 11, 'total': 19}","{'negative': 5, 'neutral': 4, 'positive': 11, 'total': 20}","{'negative': 2, 'neutral': 0, 'positive': 13, 'total': 15}","{'negative': 0, 'neutral': 0, 'positive': 5, 'total': 5}","{'negative': 13, 'neutral': 2, 'positive': 2, 'total': 17}","{'negative': 23, 'neutral': 12, 'positive': 27, 'total': 62}","{'negative': 2, 'neutral': 0, 'positive': 10, 'total': 12}","{'negative': 18, 'neutral': 6, 'positive': 18, 'total': 42}"
B07P14FB96,109,28,14,67,"{'negative': 1, 'neutral': 0, 'positive': 0, 'total': 1}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 1, 'neutral': 2, 'positive': 6, 'total': 9}","{'negative': 1, 'neutral': 2, 'positive': 7, 'total': 10}","{'negative': 1, 'neutral': 2, 'positive': 6, 'total': 9}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 1, 'neutral': 0, 'positive': 1, 'total': 2}","{'negative': 5, 'neutral': 3, 'positive': 9, 'total': 17}","{'negative': 1, 'neutral': 2, 'positive': 6, 'total': 9}","{'negative': 4, 'neutral': 1, 'positive': 2, 'total': 7}"
B01CO2JPYS,1387,330,226,831,"{'negative': 0, 'neutral': 0, 'positive': 4, 'total': 4}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 17, 'neutral': 3, 'positive': 49, 'total': 69}","{'negative': 21, 'neutral': 10, 'positive': 55, 'total': 86}","{'negative': 15, 'neutral': 5, 'positive': 54, 'total': 74}","{'negative': 6, 'neutral': 2, 'positive': 13, 'total': 21}","{'negative': 16, 'neutral': 12, 'positive': 17, 'total': 45}","{'negative': 55, 'neutral': 37, 'positive': 82, 'total': 174}","{'negative': 13, 'neutral': 3, 'positive': 47, 'total': 63}","{'negative': 42, 'neutral': 25, 'positive': 50, 'total': 117}"
B01N3Q104E,2777,768,447,1562,"{'negative': 1, 'neutral': 0, 'positive': 2, 'total': 3}","{'negative': 1, 'neutral': 0, 'positive': 2, 'total': 3}","{'negative': 27, 'neutral': 13, 'positive': 77, 'total': 117}","{'negative': 54, 'neutral': 19, 'positive': 91, 'total': 164}","{'negative': 32, 'neutral': 14, 'positive': 83, 'total': 129}","{'negative': 6, 'neutral': 2, 'positive': 12, 'total': 20}","{'negative': 30, 'neutral': 12, 'positive': 21, 'total': 63}","{'negative': 84, 'neutral': 56, 'positive': 110, 'total': 250}","{'negative': 26, 'neutral': 13, 'positive': 78, 'total': 117}","{'negative': 112, 'neutral': 42, 'positive': 82, 'total': 236}"
B074V3J1TL,180,68,31,81,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 7, 'neutral': 2, 'positive': 4, 'total': 13}","{'negative': 12, 'neutral': 4, 'positive': 7, 'total': 23}","{'negative': 7, 'neutral': 3, 'positive': 4, 'total': 14}","{'negative': 0, 'neutral': 1, 'positive': 0, 'total': 1}","{'negative': 4, 'neutral': 0, 'positive': 4, 'total': 8}","{'negative': 13, 'neutral': 2, 'positive': 8, 'total': 23}","{'negative': 7, 'neutral': 2, 'positive': 4, 'total': 13}","{'negative': 14, 'neutral': 6, 'positive': 4, 'total': 24}"
B01DJDSAVU,2039,377,283,1379,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 18, 'neutral': 9, 'positive': 61, 'total': 88}","{'negative': 23, 'neutral': 12, 'positive': 74, 'total': 109}","{'negative': 17, 'neutral': 9, 'positive': 65, 'total': 91}","{'negative': 0, 'neutral': 0, 'positive': 5, 'total': 5}","{'negative': 18, 'neutral': 8, 'positive': 10, 'total': 36}","{'negative': 53, 'neutral': 45, 'positive': 100, 'total': 198}","{'negative': 17, 'neutral': 9, 'positive': 62, 'total': 88}","{'negative': 69, 'neutral': 31, 'positive': 65, 'total': 165}"
B0012YA85A,426,103,95,228,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 1, 'neutral': 1, 'positive': 7, 'total': 9}","{'negative': 6, 'neutral': 1, 'positive': 11, 'total': 18}","{'negative': 0, 'neutral': 2, 'positive': 11, 'total': 13}","{'negative': 1, 'neutral': 1, 'positive': 5, 'total': 7}","{'negative': 3, 'neutral': 1, 'positive': 3, 'total': 7}","{'negative': 19, 'neutral': 11, 'positive': 25, 'total': 55}","{'negative': 0, 'neutral': 1, 'positive': 8, 'total': 9}","{'negative': 13, 'neutral': 5, 'positive': 16, 'total': 34}"
B07PBYQ62S,186,42,23,121,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 3, 'neutral': 1, 'positive': 7, 'total': 11}","{'negative': 3, 'neutral': 2, 'positive': 9, 'total': 14}","{'negative': 4, 'neutral': 1, 'positive': 9, 'total': 14}","{'negative': 1, 'neutral': 0, 'positive': 2, 'total': 3}","{'negative': 1, 'neutral': 0, 'positive': 0, 'total': 1}","{'negative': 3, 'neutral': 3, 'positive': 18, 'total': 24}","{'negative': 3, 'neutral': 1, 'positive': 7, 'total': 11}","{'negative': 2, 'neutral': 3, 'positive': 5, 'total': 10}"
B01D93Z89W,3533,698,516,2319,"{'negative': 0, 'neutral': 1, 'positive': 1, 'total': 2}","{'negative': 0, 'neutral': 0, 'positive': 2, 'total': 2}","{'negative': 21, 'neutral': 14, 'positive': 133, 'total': 168}","{'negative': 29, 'neutral': 18, 'positive': 144, 'total': 191}","{'negative': 23, 'neutral': 14, 'positive': 137, 'total': 174}","{'negative': 2, 'neutral': 1, 'positive': 7, 'total': 10}","{'negative': 34, 'neutral': 25, 'positive': 38, 'total': 97}","{'negative': 103, 'neutral': 74, 'positive': 154, 'total': 331}","{'negative': 22, 'neutral': 14, 'positive': 133, 'total': 169}","{'negative': 123, 'neutral': 56, 'positive': 102, 'total': 281}"
B07P15K8Q7,238,66,35,137,"{'negative': 1, 'neutral': 0, 'positive': 0, 'total': 1}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 5, 'neutral': 2, 'positive': 6, 'total': 13}","{'negative': 5, 'neutral': 4, 'positive': 7, 'total': 16}","{'negative': 4, 'neutral': 2, 'positive': 7, 'total': 13}","{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 12, 'neutral': 2, 'positive': 1, 'total': 15}","{'negative': 9, 'neutral': 6, 'positive': 12, 'total': 27}","{'negative': 4, 'neutral': 2, 'positive': 6, 'total': 12}","{'negative': 8, 'neutral': 2, 'positive': 9, 'total': 19}"
B01DAW28X6,797,174,122,501,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 13, 'neutral': 6, 'positive': 21, 'total': 40}","{'negative': 16, 'neutral': 6, 'positive': 21, 'total': 43}","{'negative': 14, 'neutral': 7, 'positive': 24, 'total': 45}","{'negative': 1, 'neutral': 1, 'positive': 4, 'total': 6}","{'negative': 8, 'neutral': 5, 'positive': 4, 'total': 17}","{'negative': 29, 'neutral': 16, 'positive': 43, 'total': 88}","{'negative': 13, 'neutral': 6, 'positive': 21, 'total': 40}","{'negative': 33, 'neutral': 15, 'positive': 28, 'total': 76}"
B07LBV1V4D,67,11,6,50,"{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 2, 'neutral': 0, 'positive': 4, 'total': 6}","{'negative': 2, 'neutral': 0, 'positive': 4, 'total': 6}","{'negative': 2, 'neutral': 0, 'positive': 5, 'total': 7}","{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 3, 'neutral': 1, 'positive': 0, 'total': 4}","{'negative': 3, 'neutral': 0, 'positive': 8, 'total': 11}","{'negative': 2, 'neutral': 0, 'positive': 4, 'total': 6}","{'negative': 3, 'neutral': 2, 'positive': 2, 'total': 7}"
B01BUYJX6G,480,115,81,284,"{'negative': 0, 'neutral': 1, 'positive': 4, 'total': 5}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 5, 'neutral': 6, 'positive': 22, 'total': 33}","{'negative': 19, 'neutral': 13, 'positive': 41, 'total': 73}","{'negative': 5, 'neutral': 7, 'positive': 25, 'total': 37}","{'negative': 4, 'neutral': 3, 'positive': 13, 'total': 20}","{'negative': 6, 'neutral': 3, 'positive': 8, 'total': 17}","{'negative': 14, 'neutral': 10, 'positive': 20, 'total': 44}","{'negative': 6, 'neutral': 7, 'positive': 17, 'total': 30}","{'negative': 16, 'neutral': 18, 'positive': 29, 'total': 63}"
B01MYM739C,2409,578,370,1461,"{'negative': 3, 'neutral': 1, 'positive': 1, 'total': 5}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 35, 'neutral': 16, 'positive': 57, 'total': 108}","{'negative': 46, 'neutral': 17, 'positive': 69, 'total': 132}","{'negative': 39, 'neutral': 18, 'positive': 60, 'total': 117}","{'negative': 5, 'neutral': 3, 'positive': 3, 'total': 11}","{'negative': 41, 'neutral': 12, 'positive': 30, 'total': 83}","{'negative': 74, 'neutral': 50, 'positive': 119, 'total': 243}","{'negative': 35, 'neutral': 16, 'positive': 57, 'total': 108}","{'negative': 143, 'neutral': 66, 'positive': 100, 'total': 309}"
