,total,negative,neutral,positive,Connection range,Ease of use,Portability,Versatility,Digital assistant,Sound quality
Smart Speakers,,,,,827,9549,463,173,448,14362
total,116230,40080,21888,54262,"{'negative': 417, 'neutral': 146, 'positive': 264, 'total': 827}","{'negative': 4191, 'neutral': 2096, 'positive': 3262, 'total': 9549}","{'negative': 194, 'neutral': 73, 'positive': 196, 'total': 463}","{'negative': 52, 'neutral': 33, 'positive': 88, 'total': 173}","{'negative': 170, 'neutral': 77, 'positive': 201, 'total': 448}","{'negative': 3522, 'neutral': 1994, 'positive': 8846, 'total': 14362}"
B00JCE14AU,2089,821,390,878,"{'negative': 30, 'neutral': 5, 'positive': 8, 'total': 43}","{'negative': 86, 'neutral': 45, 'positive': 49, 'total': 180}","{'negative': 2, 'neutral': 1, 'positive': 1, 'total': 4}","{'negative': 2, 'neutral': 1, 'positive': 0, 'total': 3}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 138, 'neutral': 59, 'positive': 200, 'total': 397}"
B0773J4PDV,7642,1981,1314,4347,"{'negative': 19, 'neutral': 12, 'positive': 24, 'total': 55}","{'negative': 266, 'neutral': 180, 'positive': 306, 'total': 752}","{'negative': 3, 'neutral': 5, 'positive': 26, 'total': 34}","{'negative': 15, 'neutral': 4, 'positive': 5, 'total': 24}","{'negative': 2, 'neutral': 0, 'positive': 1, 'total': 3}","{'negative': 416, 'neutral': 241, 'positive': 996, 'total': 1653}"
B07PGL2N7J,34262,13445,7413,13404,"{'negative': 149, 'neutral': 40, 'positive': 73, 'total': 262}","{'negative': 1391, 'neutral': 706, 'positive': 810, 'total': 2907}","{'negative': 51, 'neutral': 15, 'positive': 38, 'total': 104}","{'negative': 7, 'neutral': 6, 'positive': 16, 'total': 29}","{'negative': 74, 'neutral': 35, 'positive': 90, 'total': 199}","{'negative': 1069, 'neutral': 609, 'positive': 1605, 'total': 3283}"
B077THMYGN,19531,6563,3388,9580,"{'negative': 29, 'neutral': 8, 'positive': 23, 'total': 60}","{'negative': 632, 'neutral': 340, 'positive': 581, 'total': 1553}","{'negative': 38, 'neutral': 15, 'positive': 23, 'total': 76}","{'negative': 6, 'neutral': 7, 'positive': 14, 'total': 27}","{'negative': 22, 'neutral': 9, 'positive': 23, 'total': 54}","{'negative': 417, 'neutral': 225, 'positive': 1532, 'total': 2174}"
B07HZJ64WD,21596,7727,4051,9818,"{'negative': 25, 'neutral': 15, 'positive': 17, 'total': 57}","{'negative': 809, 'neutral': 375, 'positive': 576, 'total': 1760}","{'negative': 39, 'neutral': 21, 'positive': 32, 'total': 92}","{'negative': 7, 'neutral': 4, 'positive': 13, 'total': 24}","{'negative': 41, 'neutral': 17, 'positive': 42, 'total': 100}","{'negative': 507, 'neutral': 201, 'positive': 952, 'total': 1660}"
B07NJQFL4X,988,350,176,462,"{'negative': 11, 'neutral': 7, 'positive': 7, 'total': 25}","{'negative': 42, 'neutral': 16, 'positive': 31, 'total': 89}","{'negative': 3, 'neutral': 1, 'positive': 5, 'total': 9}","{'negative': 2, 'neutral': 0, 'positive': 2, 'total': 4}","{'negative': 3, 'neutral': 2, 'positive': 5, 'total': 10}","{'negative': 26, 'neutral': 19, 'positive': 123, 'total': 168}"
B014LFINIA,4929,1876,904,2149,"{'negative': 36, 'neutral': 11, 'positive': 24, 'total': 71}","{'negative': 184, 'neutral': 49, 'positive': 98, 'total': 331}","{'negative': 14, 'neutral': 5, 'positive': 15, 'total': 34}","{'negative': 3, 'neutral': 3, 'positive': 9, 'total': 15}","{'negative': 2, 'neutral': 3, 'positive': 1, 'total': 6}","{'negative': 210, 'neutral': 139, 'positive': 582, 'total': 931}"
B0794W1SKP,13799,3621,2251,7927,"{'negative': 40, 'neutral': 16, 'positive': 24, 'total': 80}","{'negative': 363, 'neutral': 214, 'positive': 502, 'total': 1079}","{'negative': 14, 'neutral': 5, 'positive': 26, 'total': 45}","{'negative': 2, 'neutral': 1, 'positive': 12, 'total': 15}","{'negative': 9, 'neutral': 5, 'positive': 19, 'total': 33}","{'negative': 344, 'neutral': 254, 'positive': 1655, 'total': 2253}"
B07W95RBZM,570,151,107,312,"{'negative': 5, 'neutral': 1, 'positive': 7, 'total': 13}","{'negative': 23, 'neutral': 11, 'positive': 16, 'total': 50}","{'negative': 6, 'neutral': 1, 'positive': 3, 'total': 10}","{'negative': 0, 'neutral': 1, 'positive': 3, 'total': 4}","{'negative': 1, 'neutral': 1, 'positive': 1, 'total': 3}","{'negative': 18, 'neutral': 12, 'positive': 72, 'total': 102}"
B07FDF9B46,802,271,165,366,"{'negative': 12, 'neutral': 1, 'positive': 12, 'total': 25}","{'negative': 25, 'neutral': 5, 'positive': 16, 'total': 46}","{'negative': 3, 'neutral': 0, 'positive': 1, 'total': 4}","{'negative': 1, 'neutral': 0, 'positive': 1, 'total': 2}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 30, 'neutral': 32, 'positive': 96, 'total': 158}"
B07JBC4YL9,2262,451,353,1458,"{'negative': 3, 'neutral': 4, 'positive': 2, 'total': 9}","{'negative': 46, 'neutral': 22, 'positive': 56, 'total': 124}","{'negative': 1, 'neutral': 0, 'positive': 3, 'total': 4}","{'negative': 3, 'neutral': 2, 'positive': 2, 'total': 7}","{'negative': 0, 'neutral': 1, 'positive': 0, 'total': 1}","{'negative': 19, 'neutral': 20, 'positive': 141, 'total': 180}"
B07D4734HR,3535,1275,609,1651,"{'negative': 30, 'neutral': 10, 'positive': 22, 'total': 62}","{'negative': 157, 'neutral': 62, 'positive': 91, 'total': 310}","{'negative': 7, 'neutral': 1, 'positive': 10, 'total': 18}","{'negative': 1, 'neutral': 2, 'positive': 7, 'total': 10}","{'negative': 8, 'neutral': 0, 'positive': 4, 'total': 12}","{'negative': 234, 'neutral': 118, 'positive': 517, 'total': 869}"
B07DLVV28Y,227,63,29,135,"{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 2, 'neutral': 4, 'positive': 6, 'total': 12}","{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 1, 'neutral': 0, 'positive': 1, 'total': 2}","{'negative': 7, 'neutral': 2, 'positive': 24, 'total': 33}"
B07NJPXRBC,988,350,176,462,"{'negative': 11, 'neutral': 7, 'positive': 7, 'total': 25}","{'negative': 42, 'neutral': 16, 'positive': 31, 'total': 89}","{'negative': 3, 'neutral': 1, 'positive': 5, 'total': 9}","{'negative': 2, 'neutral': 0, 'positive': 2, 'total': 4}","{'negative': 3, 'neutral': 2, 'positive': 5, 'total': 10}","{'negative': 26, 'neutral': 19, 'positive': 123, 'total': 168}"
B07R1CXKN7,657,185,105,367,"{'negative': 0, 'neutral': 0, 'positive': 2, 'total': 2}","{'negative': 16, 'neutral': 10, 'positive': 23, 'total': 49}","{'negative': 1, 'neutral': 0, 'positive': 0, 'total': 1}","{'negative': 0, 'neutral': 0, 'positive': 0, 'total': 0}","{'negative': 0, 'neutral': 0, 'positive': 1, 'total': 1}","{'negative': 20, 'neutral': 12, 'positive': 79, 'total': 111}"
B071L8XYGD,2353,950,457,946,"{'negative': 17, 'neutral': 9, 'positive': 12, 'total': 38}","{'negative': 107, 'neutral': 41, 'positive': 70, 'total': 218}","{'negative': 9, 'neutral': 2, 'positive': 7, 'total': 18}","{'negative': 1, 'neutral': 2, 'positive': 2, 'total': 5}","{'negative': 4, 'neutral': 2, 'positive': 8, 'total': 14}","{'negative': 41, 'neutral': 32, 'positive': 149, 'total': 222}"
